twitter_id,Content
1418354035971739649,"If Americans stopped buying Corona when the pandemic started, Delta Airlines should be terrified rn"
1418353871764660224,@CannedChopSuey This thing has really gotten lost in the corona coverage but it's hella freaky
1418353664914305027,"A “new” sport for sustainability. Well done, Corona!! 

https://t.co/qWesya13hD"
1418353639396020229,"@eaJPark YESSSS PLEASEEEEEE 
The title is 'nappeun corona'"
1418353477198176256,@seanhannity Sean what we need you to find out where are they dumping the illegals what states and would be willing to bet its the major factor in the rise of corona cases
1418353442469433352,@helenzille Rubbish letter. No truth. No attempted coup. Looting happens all time in RSA. Politicians just Cleaned R500 Billion on corona virus economic stimulus. In 2018 NorthWest suffer same fate reducing Mafikeng to ashes. Tshwane went through same fate in 2016. Former Bop was worse in 94
1418353366099402758,"@JCP_7 I was gonna treat her to Lamb Chops but couldn't find a place with them because ""limited menus due to corona"" 🙄"
1418353310260776967,"Bhadohi: Officials forgot about malnutrition in the wake of Corona, one and a half thousand malnourished children gained weight due to lack of care https://t.co/j0mb5WpDax"
1418353263058079744,"Its sad, I never got my Telegram stickers I paid for. 😔
But I didnt pay with real money, got 2/3 of them and the artist has really been fucked by Corona and I havent heard from them for months and I dont know how they are 😔, so I wouldnt demand anything"
1418353197110935554,"@united in corona situation, you are forcing us to wait in a plane more than 30 mins after landing. Nobody warns about mask! How bad operation it is!!"
1418353125300359170,@Millloooooo a pandemic? corona? man get yo costume on we’re going out to scare kids dressed as clowns
1418352957721022467,Me at a beach in 10 years when someone asks if I want a corona https://t.co/UzWRgIzIis
1418352874287878146,FREE BOOKS were great -- in every way -- happy to have them back at anytime Post Corona: From Crisis to Opportunity by  Scott Galloway. https://t.co/uREgsCKClY
1418352773943414784,people who are asked for a negative corona test and respond they are healthy and therefore dont need one are the real ones
1418352707463753734,"3 injured in a shooting near 89-15 144th St in Corona (Queens), New York https://t.co/SWauQZoRgL"
1418352677973467136,"Networking during Pandemic 
It is unclear how the world will look or be when this is all behind us. The Corona Pandemic is still not done healing the #prabhuwrites #prabhu #hymprudious https://t.co/TV06yPjbEN #networkingduringpandemic"
1418352346438979586,"So, this #CoronaSHOT (it's NOT a #vaccine) inserts itself into our #DNA... &amp; has killed thousands &amp; gotten many sick, although we DON'T KNOW its #LongTermEffects. In addition, those with the shot CAN STILL GET #CORONA &amp; #InfectionStats/#haves v. #HaveNots are IDENTICAL=0.8-1.2%"
1418352267145584644,@elsbet @Lindalb8 @EllenBarkin @MaeAndersen123 The professionals i was talking about indeed is the surgical unit. The normal masks certainly stop certain particles yet not the corona ones. It's  a mental conditioning and creates a divide between mask wearers and non mask wearers. Divide and conquer.
1418352239337426952,"In June, Vanity Fair revealed that the U.S. government had warned against investigating the origin of the new corona virus, or it could open a jar full of maggots."
1418352161629433858,@imsarvi4u But Liquor stores and services are open isn't it?  It's simple logic alcohol kills Corona Virus not Gods.
1418351904631971843,⚡️ „still corona“ von @Touchme4youLe https://t.co/i2Crm9T6Ed
1418351898336268288,"I think I'm struggling because I feel like I do NOT have a good grasp on Corona. There's so much we DON'T know about her motivations, the things that really make her tick. I've got a direction for her, sort of, but I'm not confident about it. HMM!!"
1418351031142998018,"Hydroxychloroquine made naturally. 

3 lemons 3 grapefruit pulling off the rinds and put in pan w/glass lid.
Pour 8-10cups of water

Simmer 3 hours and let cool 2 hours and strain into glass jars.

2 tablespoons twice daily to fight Corona viruses and Malaria."
1418350951300218883,Conversations on Corona from an English Pub! * The Question Everything S... https://t.co/KaLpR3VXTV via @YouTube
1418350904156250115,"@DataGeekB I am struggling to understand a friend of mine who is libertarian, antivax and is “trying to get my kids sick with corona”. Which was kinda the way we used to handle chicken pox (which was ridiculous but how we did it in the olden days)."
1418350778838884359,Watching To Catch a Predator cured me of corona virus. https://t.co/KQWX06NHWr
1418350726280093703,@cscarroll2 @RealMarkNew91 Bet they are all Conservatives like the late Herman 999 Cain that said the Corona Virus was a Democract hoaxs lol
1418350634290585604,I had talked to my daughter and my sister evil sister started to say she don't love you started to give buch of junk clothes when people give shit stuff to do witchcraft not always but them evil witches  us thing the give you I started to get mad at her and she had Corona why did
1418350602711494657,"@NumerounoJay @davebell322 @DeAndreHopkins They made Corona in a lab anyway huh? Ah, this is all starting to make sense now. Really speaks to the person I'm talking to lol. Your IQ can't be above 50, this is sad lmaooo. Have a good day, read some books or something and take off the tin foil hat"
1418350557346115584,"Chaos Czech releases Corona Renderer 7 for 3ds Max, an update designed to enhance the realism of 3D scenes and boost render speeds across the board, with photoreal fabrics to expansive sky effects.
@CoronaRenderer
https://t.co/e4pJ3d2AAx https://t.co/HCY0SiWbzb"
1418350461451739138,"@carlapunkgirl He's comin 😱😱😱
I will be there with you.
Fuck Corona.
😳 I've got the 2nd vaccine 🙏"
1418350450529558530,I am trying SO HARD to wring SOMETHING out of this nebulous Corona/Judith concept I've been sitting on.
1418350281805471752,4th wave of corona be like.
1418350270866673670,@TheMackDaddy5 @davebell322 @DeAndreHopkins Like I said I'm it taking the vaccine. I caught the corona and was good after like 5 days lol.  They made the Corona in a lab anyway.
1418350260305399817,@NickStarlingTV @KSHB41 It is i have a csae of Corona in the fridge
1418350196740837376,Y'all were looking sick before the corona
1418350185680449549,"Corona-free district, all patients got well https://t.co/pFkHUFUQv6"
1418350160464289797,"@ByronNoe6 @M3G3MIKEQp17 @Disinfo__Flag Avg age of death in the US from Corona: 76.

Avg age of death in the US in general: 76.

Cuomo juked the numbers by wiping out NY's nursing homes made a pandemic out of a flu.

These people didn't die OF Covid, they died WITH covid. A distinction changed by the WHO in March 2020."
1418350154332086272,Democrats are corona virus super spreaders https://t.co/1xW0Zty5dm
1418350026250620933,Last year we almost didn’t have football because the b1g didn’t want to have NIL and used corona as a mask.
1418349971263434753,"@mynumbe17510130 @Iblogtoglasgow er, Corona virus...u get their reasons, no?"
1418349902397153281,"#PandemicRecalls
What a guy at the start of the Corona virus!! Smh. https://t.co/AQVx25lFrw"
1418349859267022865,"@Makazarx This reminds me of the same kinda word association problem people had with ""coronavirus"" and ""corona, the beer"".  Corona beer sales plummeted because it was named ""corona"", like people have no idea how to distinguish one thing from another."
1418349829806116865,so so so many variants corona hella mutated.
1418349767772545024,@__Roarr @JohnMorganESQ @itskerrii I was on vacation making a spoof of the corona add. My question however has not been answered
1418349583613190144,"Take it from this girl I spoke with...'Corona is real, real'.

Let's listen to our health care professionals and take this virus and the Delta variant seriously. 

If you can, get vaccinated.

@KSHB41 https://t.co/Anv4bsMGHI"
1418349411646722064,My Corona and Lime Bank and Wash Yo Hands Bank.. bringing it with some slick shareholders reports... @TNBankers School of Banking https://t.co/qNL70Teo83
1418349271255027718,I really need corona to go away.
1418349231325302785,"Disaster of corona war and climate war will surely intensify.
Imam Mahdi Nasser Mohammad Al-Yemeni
21 - Ramadan - 1442 AH
03 - 05 - 2021 AD
12:35 pm
https://t.co/RQ1nSl94rG
5
#آيه_بدر_الامام_المهدي"
1418349196252385282,Yeppers. The whole thing was ABSURD in the first place. There is a reason we never had vaccines for corona viruses before. They mutate too quickly. It’s literally impossible to eradicate them.
1418348946909507585,@bu_noor89 Ever heard of corona?
1418348883420323840,"🇪🇺📌 Appreciating (super)spreading of children:
1) Risk management: Very High
2) Old science: Low
3) Robust science: High
4) Politics/Govt: Very Low

#Corona #Covid_19 #CovidIsNotOver #COVID19 #CoronaVaccin #DeltaVariant #Ruttedoctrine #Hugodejonge #Volt"
1418348846879547394,@jeneps Yes these people at Fox are concerned with the same BS Trump was crowd size America's approval rating for Biden was 70% for handling public enemy number One no not Trump but Corona &amp; to me that will fill up any room that fox think need filling https://t.co/TqaQHgfuP2
1418348425955856390,"@drgregkelly No, and any veterinarian can tell you that those mild cases of Corona virus in the young can end in MIS-C like death up to 10 years later."
1418348400324620295,@CRRJA5 When Trump used a figure of speech during its speech about using bleach for corona.  They all went for his Head . Here comes another figure of speech! Where’s the mainstream media ?
1418348325015678977,"If u are signing the withdrawal bill 17 petition make sure to be vaccinated💉.
Otherwise you'll die from Corona😂 and who🤷‍♂️ will inherit your land👀"
1418348245600849921,You ever think corona happened cos a super spy failed in his mission to stop a super villain from releasing it
1418348092550680580,@d_iamantee I get corona and you cheat on me already dog i said I’m quarantining
1418348041472516101,"@Da_Z_IzSilent @jemelehill Those who aren’t getting vax believe the corona is fake, think they are being microchipped or don’t trust the scientist because of misinformation from their beloved leaders.  I’d say maybe 10-20% that aren’t getting vax is because of pre-existing conditions"
1418348016528941061,"@realJeffreyLord How about the lie by TRUMP, the corona virus is like the flu, it will just go away. Which lie caused death. Show me some balls with a response."
1418347944961617921,Ask Jerry about corona and covid 19 https://t.co/RNkc848bIa
1418347796613132291,"@SsamuelJonathan @lavern_spicer He could have won, but his voters died of corona"
1418347698252550148,@RTLnieuws So who created the dutch corona app? Cause it's a joke! Unsecure line with the server with data anyone can edit.
1418347683341819908,"MULTI ADSBX MANOEUVRING ALERT : At time Thu Jul 22 23:57:43 2021 #N632AX   was likely to be manoeuvring at FL220 24nm from CNX Corona_VORTAC_US
 near Lincoln County, New Mexico, United States #AvGeek #ADSB https://t.co/vYxZ8OtYQT https://t.co/ohL2o7gdj3"
1418347672411402241,@BadMedicalTakes But he was crucified. Those who don’t get vaccinated are at high risk of getting crucified by corona virus.
1418347578719096840,"MULTI ADSBX MANOEUVRING ALERT : At time Thu Jul 22 23:57:42 2021 #N618AX   was likely to be manoeuvring at FL217 23nm from CNX Corona_VORTAC_US
 near US 54, Corona, Lincoln County, New Mexico, 88318,  #AvGeek #ADSB https://t.co/JAB90I8CoD https://t.co/qG8uLkyLXY"
1418347363282866184,"This bear market environment kinda sucks tbh, you gotta be quick on your feet and catch the 10-15% moves.
can we do the upOnly thingy again?
someone call the Chinese and tell them to release corona v2.0"
1418347335676014595,Not a day has gone by where I haven’t thought about my friend who has currently got Corona. Please remember him in your Duas 🙏
1418347223046189058,"It's 4:30am and I can't sleep.

Tried everything, from meditation to deep sleep Playlist on Amazon music to counting sheeps in reverse

😅😅

All suggestions welcome, normally I sleep like a baby, but Corona has messed up my sleep cycle."
1418347010101374976,"Aw man I love bbqing, I wish I could do that everyday. Y’all want steaks, ribs, chicken thighs and wings? Shrimp Kebob’s? Top it off with a Corona with lime? Learned it all from my pops 😤"
1418346877263646720,"@askmikewarner Friends in NYC would call that person ""Corona Boo"" https://t.co/qHKB7HOytJ"
1418346857990864902,Need me a cold corona 😩
1418346662846681089,"This is @JackNowakowski’s dream: holding his baby boy, drinking a corona, watching Space Jam https://t.co/a4G6PGFOGv"
1418346549579501570,“Corona is another naan for the influenza virus and the experimental 'vaccines' have been developed as prototypes well before 2020. So not in 3 months because that is impossible. People inform you and save your own life and that of your children.#vaccinaties#prototypes#Corona “
1418346513839890436,That Corona and her line sisters tweet has had me weak today lmao
1418346480667086851,@flappyfupa @AuthorKimberley @mtgreenee I’m fully aware that Corona viruses existed before! #jfc
1418346480419680259,"@Javi_DLT_USMNT @MrCalcioGuy @ManagerTactical @OpinionsUsmnt @USMNT_Goose Actually it is a deflated market. 

Player x is worth x in 2019. Player x is worth x - corona in 2021. Can dumb money buy 🏆? Over time, yes look at how long Man City 
or PSG needed for a cl 🏆 :)

Can dumb money prevent relegation, yes, but relegation is easier than winning 🏆"
1418346375574523904,"@elle77_elle @KRYS_42 No! I have been vaccinated, and I am not dead. The purpose of getting vaccinated is to reduce infection of Corona Virus. So, it can be treated if a person becomes infected. Whereas a person that is unvaccinated is likely to die from Corona Virus, and is untreatable."
1418346367240523787,Common sense clearly points to the secret lab that experiment with Corona virus’s.  Not a live animal market.  Comrade Please.
1418345914930909189,@adharanand Are any of those due to positive Corona tests? Suspect one or two more will have to pull out yet. Quite the tainted Olympics.
1418345125814620163,Many Corona warriors lost to bring down deaths in 2nd wave https://t.co/yCITuh7hM1
1418345115597348864,"Current Conditions for #Sayre PA
Temp: 75.9F
Wind Chill: 75.9F
Humidity: 51%
Dew Point: 56.5F 
Barometer: 30.186 inHg
Wind: 2 mph from the NW
Corona Virus Weekly Stats:
Cases: 13.000000
Deaths: 0.000000
Survival: 98.000000
#weewx #nepa #bradfordcounty"
1418344935917510658,"I swear to #GOD this channel will become the next #mrbeast
https://t.co/2mq2ClYIoY
#viral #youtube #sdmn #bitcoin #doge #wsb #corona #covid19"
1418344729310220288,"@JackBox
 Worst experience with store 5349 store in corona with Lupita, Alicia, and Lori! They laugh, forgot that they park us  for  two shakes, Lupita grab the card from my hand! I have tried contacting the district manager, haven't heard nothing back in 3 days! So disappointed!"
1418344630358323206,New Member: Primary Security Agency https://t.co/T8E8lypUUx
1418344564927070209,"@JackBox Worst experience with store 5349 store in corona with Lupita, Alicia, and Lori! They laugh, forgot that they park us  for  two shakes, Lupita grab the card from my hand! I have tried contacting the district manager, haven't heard nothing back in 3 days! So disappointed!!"
1418344460740669445,Gotta love that ghost pepper mac and cheese with fried chicken #coronafoodies #chefmode #chefchrisdaly  #boondockscorona #ovenoflovestoveofpassion #coronaca #iefoodie #maccandcheese #fresh #fucktodd @ Boondocks- Corona https://t.co/ES6J5ujLvP
1418344427207208962,"🇪🇺📌 @PeterStefanovi2 motivates the Dutch to do everything to start wobbling Rutte's house of cards and his media friends.

🇳🇱 Politics can't. We must do it ourselves: @allthecitizens #AlleBurgers

#Corona #Covid_19 #CovidIsNotOver #COVID19 #Ruttedoctrine #Hugodejonge"
1418344419372281857,plz--world AuR UNO iNDia PaR CoRONA ViRUS Me iZaFy PaR iNDiA CiTyZiN KE woRld countri Me jany PaR BEEN LaGAYA jaye ---old---Annalaysis --Raja M Aslam khanzada
1418344395422765063,@jimperdue21 @AuthorKimberley @mtgreenee I understand but Im saying it’s more likely he had a stroke and died from that while testing positive for Covid. Do you know they you a pcr test for Covid ? Did you also know the person who made them (Kary Mullis) said you can’t use it to test for corona viruses.
1418344375076237314,Conversations on Corona from an English Pub! * The Question Everything S... https://t.co/dyhMRF2D4u via @YouTube
1418344361696407558,Are you ready? Our Backpack Giveaway is in two short days! Swing by our Palm Desert or Corona locations to pick up your FREE backpack! https://t.co/sTZWYii9Eu
1418344323821748234,"@staceykate1973 @thegoto75 there will be corona pandemic now via the vaccine, or a pandemic of something with corono symptoms. i knew last year nobody should be testing..that it was enabling them to lie and spread illness"
1418344301176795136,"@ChainsawRailgun @4w4r33 @JoshC0301 And about the vaccines, it was later found that 1. prevention is higher and much more importantly 2. 100% prevention of serious cases. Meanwhile the US has 600.000 corona deaths."
1418344278804283393,"Yesterday, the student (Hussein Tawfiq) passed away due to the Corona virus from the Faculty of Aviation, the second stage at,# Al-Farahidi_University
 We ask the Lord Almighty to cover him with his mercy, dwell in his vast gardens,⚰️💔😭😭😭

#Biden_save_the_students_iraq"
1418343987623170051,"Perhaps the most complete video about the Beijing-Guangzhou Expressway Tunnel.
One hero (in white) literally saved a kid, then a lady within 1 minute.
The CCP may never reveal the exact number of drowned people as they have done about the corona origin.
https://t.co/BbBQj7bZlw"
1418343850767159302,"IF ONGOING CORONA IS AS BAD AS WORSE CASE SCENARIO,MY 75YRS IN LIFE SHOWS ME,THE CURRENT GROUP OF HOMO SAPIENS DON'T HAVE THE SELF-DISCIPLINE 2 MAKE DISTANCING,ETC,WORK-HENCE,ITS DOOMED 2 FAILURE-SALLY JUST RETURNED FROM BUTCHER+SAW""NO 1""WID PPE,INCLUDING BUTCHERS,IN CITY OF 25K!"
1418343821423874048,@jmcd2123 @ASRothstein @Clinteikmr @GarysheffieldJr @DeAndreHopkins Do you see me out here spitting out bullshit statistics?  Dam science is changing its mind every other week..  They’ve been wrong on dam near everything and have had to correct itself on dam near everything having to do with corona.
1418343797860229124,@SpiritOfTheBlu1 I am sure Delph didn't travel cause of Corona
1418343645690875917,"In the last 24 hours, the number of corona infections in the state has decreased but the daily death has increased! – News18 Bangla https://t.co/HcS11GosG0"
1418343528652886016,"MemryLosOFhuge.things
As in upo.eenadu.a wednsday

Gtg.used2daily rutOFritual stick habits4badORworse
As in Corona.Heinkn.Crlsbrg.Tubrg.Strm.KF.Galyni(ol'dpastensed)
MyB cinmtic poltics toORpoltcl cinma instnz3

DiseaszOFIntrior.Vilage.Dwn.South.Indians.Tamlians

#LifeLessons"
1418343418892328962,"-When we will back to normal bro?
-Corona is the new normal bro!
.... 
Covid22 is already here.
#lamdaVariant"
1418343374902337539,"Corona-related death problems. The number of suicides in Japan has increased by about 3,200 and is expected to rise further in the future. Medical measures and employment measures have been postponed, and the number of homeless people is increasing. https://t.co/mPqAvm4LvA"
1418343280836763649,The sugar industry has yet to recover from the chaos of Corona https://t.co/9zbGDRVhKA
1418343227615219714,ALSO NO ONE CARES BUT I GET MY ROOM BACK TODAY CORONA BE GONE
1418343212524228608,Can you drink a @corona on @delta?
1418343185328316417,@dantelives13 @DariusJButler @NFL The virus is mutating to avoid the “vaccine”.  Why do you think all other attempts in the past to vaccinate common colds /corona viri have been utterly worthless?  This isn’t new.
1418343111047061504,@NdaMissa Aye am talking about 2021 corona intake 🧐
1418343089828028417,"@Radhika_Khera Are wo pm use Corona thire na hoga , Corona to sirf aam public k liye bani h na"
1418343075227779074,"@betsy_buzz @_AnonHater_ Girlfriend, they're back to drinking Pabst Blue Ribbon. They can't afford Corona these days."
1418342927819055105,"The highest official of Iran (Leader of the Islamic Republic of Iran: Khamenei) after the discovery of the corona vaccine ""Haram"" its import (ie its consumption is equivalent to war with God!) And deprived several million people of the... 1/2
@RSF_en 
@WHO 
@UNICEF 
@hrw"
1418342758159319040,My car almost got hit/run off the road twice by a Corona beer truck this morning and I hate the clear allegory of it all.
1418342344277983234,Frontiers | Analytic Thinking and Political Orientation in the Corona Crisis | Psychology https://t.co/CrYIW4AmDE
1418342340897304577,@Darternole1 @mrobmused @burlycamel @RealSnarkyLee Look the actual Corona virus can not exist fro very long outside of that moisture  ....the environment dries the humidity your respiration  up and destroys the fat around the viron compromising the integrity of the virus ....
1418342002119254017,What in the Corona is the world coming to!
1418341968703283200,Willie Nelson donated funds to the idiots that flew out of Texas and picked up six cases of Corona.
1418341904597540864,"rmb the killing part from YAYAYA? and felix's OG flexing his abs I wanna attend a straykids concert corona pls be gone soon 😭

https://t.co/gexsO8E9bC"
1418341843767496708,"$32.5 MILL EBITDA (NON TECH) IN 36 MONTHS - WTF! NEW QLA MENTEE RECORD! WHAT MULTIPLE DO U PUT ON IT? THESE ARE BIG 4 ACCOUNTING #'S DURING CORONA! IN A COUNTRY QLA IS SUPPOSED 2 BE HARD! NOT HARD, IF U WANT IT MORE THAN LIFE!! https://t.co/7zhb1YuKpd"
1418341694169354244,"Welcome to Cafe Toretto! May I take your order?

#Rt for Corona

#Fav for Tuna Sandwich

#FastAndFurious #Kawaii #CafeToretto1327 #VinDiesel https://t.co/zTT3H5gf78"
1418341658391826439,@fatchickthiller @paydawg2 @donnie_wahlburg @arob31 @BuckReising i got the Corona vaccine and now my dick is permanently soft i haven’t had a hard on in months
1418341645288935432,Corona said they tryna have a Greek Picnic like how they did in Atlanta 😭
1418341258829787137,"@David_LeBoeuf @Quincy_Avery Just so you know, getting the vaccine will not mean this is “over”. There’s no universal vax that treats all corona viruses. Just makes the symptoms mild. How has the flu vaccine done? Flu is milder and they can’t find an “over” for it."
1418341115321671687,"@DeterminedSloth Yeah! I'm always thinking like, why are you in such a rush, the train ain't leaving without you. And even if people need to rush for a seat, just wait 5 seconds. Especially with Corona going on. People really don't care"
1418341003426025472,"@Wizeguy1015 @mjaeger6 @JasonBecker4955 @brettswff Yeah we can setup a curve track, turn on Netflix and open a Corona"
1418340996107051010,"@ggreenwald Steel man of this stupidity: vaccines do not reduce R0 of Corona virus to 0, just lowers it. Combining both masks and viruses will likely reduce R0 than either on their own, thus ending the pandemic sooner.

Lose weight.
Suppliment vitamins and minerals for health.
Sleep well."
1418340769547440132,"@timesofindia Why always commenting as Opposition calls. Don’t you see what’s happening in India? Whether Patrol/ Gas price/ Corona mismanagement/ Job losses etc. You just call as only opposition demands answers. Better you must say, All opposition means whole Indian nation."
1418340565486276615,But not for corona.
1418340443172057095,"MY CORONA, Pt. 2 (One Year Later) - A Chris Mann Vaccine Parody https://t.co/iea3529uzz"
1418340291547856898,Nothing but vibes tonight @celsius_nightclub $3 Corona $3 margaritas $5 tequila shots....free entry all night!! @ Celsius Night Club https://t.co/DHV2BVUBif
1418340107984248834,The hulk in corona form coming?????
1418340084517019654,@cannaKingCA Masks have not been effective against corona https://t.co/okiTS77u0R
